,a,b,c,d,e,f,g,h,i,j,y
0,0.3263033621558584,0.1796621936149434,0.6083720403415674,0.9990879082060122,0.5556906666328548,0.6325433417066828,0.17893488599938134,0.7917014667328467,0.16899805171606475,0.6991292174067885,1.3049309490053127
1,0.45904424136959787,0.6684415247424613,0.3202897867893948,0.599495323357154,0.6860205734943566,0.3339561431493998,0.9128884593613372,0.12323431529962692,0.06951169846554117,0.9360606784140055,1.2286497952640267
2,0.7449762592105766,0.5037371799981122,0.9682126301904844,0.47309496731473566,0.19301064761078102,0.9587601170008786,0.3956120739566109,0.08708624066173154,0.9698062116339037,0.8814747962211684,1.5546003057129019
3,0.946013679836935,0.22506196347230167,0.9525755954698528,0.5989879755846036,0.20289692805490822,0.08118569738648418,0.5823139572729362,0.7447241663246859,0.4755603335120383,0.3236842988414028,1.785968438666848
4,0.7043121267303913,0.46263704557931673,0.9628733727730593,0.5244701933890504,0.1352855979305123,0.24296576811336656,0.9852202829283119,0.5242055264660725,0.17688134551974022,0.23997548122491108,1.542752861453141
5,0.006364687020845805,0.27038552422404694,0.6715559492431068,0.029440381276122585,0.1291714480690357,0.9034542436680868,0.957264590917439,0.15245894350684142,0.6635509684429031,0.07889763991259369,0.9701849295902107
6,0.8213469683090476,0.9453105489136941,0.5120514668495446,0.6351251199032071,0.9233064199252168,0.35421297993326384,0.09382666737621448,0.3515307978891512,0.12895809216261034,0.8323121231505781,1.3179575580475684
7,0.8865667327633243,0.2682576045837902,0.8433177025868154,0.14956107643282346,0.3016601004736712,0.5969483685456493,0.8054400683490309,0.029374108968362678,0.5729526734731099,0.7689210118922363,1.7392549545487073
8,0.43117313516180733,0.7163211341601372,0.12041507893851955,0.5510762590573796,0.3656774188844072,0.8143748744117223,0.6874722186092382,0.7931862037605134,0.7493964971809705,0.7483066863945944,1.1727394630135308
9,0.7597111552142112,0.5222132415412407,0.8059183018559678,0.6217927737456299,0.09120408679934666,0.2721596856905383,0.6226439659406476,0.7740511931999696,0.37294159587990694,0.8864766685495514,1.5560319788032833
10,0.9604940874595215,0.2995582731422278,0.3462689496037443,0.49485346318162926,0.26853247218810905,0.22157771677154048,0.9314278673523643,0.31625011770355616,0.43669958363907047,0.9131427640210588,1.7749973261722112
11,0.024659054950416648,0.6933706955744947,0.5155776083688725,0.1466732852101108,0.5745676553384743,0.14716888837801745,0.23268374326180297,0.783769738024262,0.8178072295170896,0.38109226249920836,0.7943650309894185
12,0.6609354847268585,0.10641027237612188,0.14655444935082773,0.34688154949254213,0.2854387423452641,0.1939553891078588,0.10304923219043205,0.6903377738063915,0.7093652144997482,0.8586961045149918,1.6083384893591572
13,0.5146928026401105,0.39606488772131565,0.7052480333904821,0.1414280333766863,0.41727616887415,0.3833627468422951,0.4450093626435172,0.04371170423126569,0.5992603415676744,0.6250172296424261,1.4157359935665796
14,0.47494297839615196,0.26726576724874107,0.9342333044553949,0.48864666849192784,0.17842783791305838,0.27189946149936817,0.7392956830489412,0.5350246226055979,0.6395786716218581,0.3357152103389274,1.4226151674539353
15,0.1954981381225782,0.3916898119789276,0.770655770115315,0.7813888097208619,0.7796405430345076,0.5754873906041521,0.6597290220769895,0.6962310345443182,0.26364841672612616,0.1950568009013851,1.1193079675424558
16,0.19142238372601872,0.42123097172355417,0.8378731119520865,0.9795726645069796,0.1540500351129609,0.6616316157743343,0.22342538883670293,0.1401910197581413,0.9892242586136997,0.35372253425511013,1.1033142066735204
17,0.10254744669030202,0.2516707999278037,0.8798361132606183,0.2278737540823399,0.7231124007412575,0.6758455459810558,0.8334581731553949,0.00029047852495411863,0.8270497376710442,0.13890260565867962,1.0711213877932784
18,0.360408182733306,0.5767677689121984,0.6544477345229068,0.12230958123213365,0.16337433410598834,0.5111374400918678,0.9060203979805872,0.47154944832420953,0.506402473823728,0.34680783473805266,1.1917659377568506
19,0.8144385103139576,0.2477772489864839,0.4142548146870838,0.9048528235954412,0.5386333913083969,0.05142801896943683,0.09682759980721023,0.5820845823377122,0.5754229116260281,0.7491178822758013,1.6968526720943395
20,0.06587560455178065,0.8995266216085188,0.8388621170624095,0.004679256597378001,0.5701051926393506,0.9617464804442171,0.504367753862886,0.12129838700896856,0.3451580370623707,0.7544434452474184,0.6886416060284691
21,0.6469050310165951,0.5579677854715478,0.4349680363890377,0.6136623114763196,0.7520843717502126,0.5579794988469633,0.5024045648795782,0.3112792289080616,0.7370344035901979,0.11394717399660481,1.4516244059324548
